"sa1_maincode_2016","sa3","global_pr","sa3_pr"
21205132022,21205,0.000495768133543976,0.0106537066025373
21205132026,21205,0.000482421754234824,0.0103669023492073
21205132027,21205,0.000476869283892378,0.0102475836880322
21205132029,21205,0.000486531129672922,0.0104552099213866
21205132031,21205,0.000486710322971077,0.0104590606586457
21205132032,21205,0.000498207029480435,0.0107061167515225
21205132037,21205,0.000490909438448318,0.0105492966808057
21205132038,21205,0.000489981471113909,0.0105293553190105
21205132039,21205,0.000490992472395362,0.0105510810216094
21205132043,21205,0.000497273018813881,0.0106860455227931
21205132105,21205,0.000432969684806234,0.00930421234770525
21205132106,21205,0.000396494306298879,0.00852038225750567
21205132110,21205,0.000358543266149762,0.0077048412421533
21205132116,21205,0.000324731953751766,0.00697826004872323
21205132125,21205,0.000327997914450348,0.00704844323457945
21205132130,21205,0.000268294912703689,0.00576546794660998
21205132131,21205,0.000298951035545055,0.00642424634769146
21205132206,21205,0.000331498945901139,0.00712367792466805
21205132212,21205,0.000361289577279927,0.00776385752625956
21205132214,21205,0.000349608289028796,0.00751283490228089
21205132215,21205,0.000382389904085563,0.00821728862800857
21205132216,21205,0.000360107876598504,0.00773846361426706
21205132217,21205,0.000394941952399823,0.00848702326997732
21205132223,21205,0.000408519856090175,0.00877880281853454
21205132225,21205,0.000375337476533284,0.00806573694710376
21205132226,21205,0.000447193934732777,0.00960988141980811
21205132227,21205,0.000427986417252355,0.00919712545193917
21205132229,21205,0.000365420308833196,0.00785262402625177
21205132249,21205,0.00042322105238174,0.0090947211307444
21205132302,21205,0.000359317319275491,0.00772147509644592
21205132304,21205,0.000388398291938398,0.0083464046340753
21205132305,21205,0.00037073268721017,0.0079667832808722
21205132308,21205,0.000362432220297421,0.00778841211667423
21205132311,21205,0.000367890494465262,0.00790570656866875
21205132314,21205,0.000382326167470203,0.00821591897321646
21205132322,21205,0.00036111884494558,0.00776018860912949
21205132325,21205,0.000369573139165339,0.00794186541337462
21205132402,21205,0.000430905246393274,0.00925984902609872
21205132410,21205,0.000472047855814217,0.010143974608153
21205132413,21205,0.000443098193011934,0.00952186682657133
21205132414,21205,0.000411349309988948,0.00883960578194296
21205132417,21205,0.000380958342650537,0.00818652538511264
21205132419,21205,0.000394771152289389,0.00848335289638708
21205132420,21205,0.000393855611038277,0.0084636785623347
21205132422,21205,0.000412935162163725,0.00887368462372792
21205132437,21205,0.000390011299174048,0.00838106701891545
21205132439,21205,0.000397382646688352,0.00853947206427678
21205132503,21205,0.000382882229888392,0.00822786836135832
21205132504,21205,0.000376832968149572,0.00809787400438615
21205132508,21205,0.000293597694999919,0.00630920684504403
21205132514,21205,0.000464091593289083,0.0099730001528373
21205132516,21205,0.000236050191685125,0.00507255169409336
21205132520,21205,0.000432737230177179,0.00929921706210944
21205132521,21205,0.000465383648842115,0.0100007655129821
21205132525,21205,0.000443143558723308,0.00952284170362794
21205132528,21205,0.00041534835603613,0.00892554245353206
21205132532,21205,0.000296390747269189,0.0063692275631762
21205132533,21205,0.000432645991862905,0.00929725641525577
21205132543,21205,0.000360086718417269,0.00773800893991454
21205132544,21205,0.000309486244949533,0.00665064054771651
21205132547,21205,0.000328395663359583,0.00705699057736685
21205132601,21205,0.000448988566841969,0.00964844679474286
21205132605,21205,0.000432319990739487,0.00929025088164842
21205132606,21205,0.000431417835544043,0.00927086420446627
21205132610,21205,0.00049626777955948,0.0106644436420808
21205132612,21205,0.000461223129159847,0.00991135888716271
21205132613,21205,0.000429248264953111,0.00922424166670037
21205132617,21205,0.000450981593273109,0.00969127552335977
21205132625,21205,0.000430397254734949,0.00924893264459262
21205132628,21205,0.000436673060068033,0.00938379526320299
21205132632,21205,0.000440536477605927,0.00946681737403854
21205132633,21205,0.000421819133573052,0.0090645948869264
21205132634,21205,0.000479872633453375,0.0103121235462498
21205132635,21205,0.000461616164297887,0.00991980493434051
21205132638,21205,0.000424270453804776,0.00911727202523088
21205132639,21205,0.000436450380035962,0.00937901002678417
21205132640,21205,0.000472281407909261,0.0101489934775168
21205132641,21205,0.000451622400706328,0.00970504602194635
21205132643,21205,0.000469446723789168,0.0100880781203508
21205132645,21205,0.000428748722618701,0.00921350685519019
21205132649,21205,0.000433236212816295,0.00930993984616356
21205132650,21205,0.000457557016399204,0.00983257671646427
21205132653,21205,0.000460466218457135,0.00989509341141829
21205132705,21205,0.000364997856104729,0.00784354581585863
21205132719,21205,0.000350631612351774,0.00753482539683851
21205132722,21205,0.00032869243819711,0.00706336805875806
21205132725,21205,0.000363714802999372,0.00781597391194815
21205132728,21205,0.000312332617810795,0.0067118070876644
21205132733,21205,0.000333102961696862,0.00715814708982256
21205132741,21205,0.000432573746622344,0.00929570391612505
21205132748,21205,0.00040328928650797,0.0086664015770618
21301132804,21301,0.000321382017369675,0.0139260629160515
21301132806,21301,0.000355721574025138,0.0154140578897815
21301132814,21301,0.000383279387948796,0.0166081877097094
21301132816,21301,0.00034276023820305,0.0148524198130411
21301132913,21301,0.000242941007792164,0.0105270723828678
21301132918,21301,0.00028343308247873,0.0122816670683506
21301133007,21301,0.00020625699802088,0.00893748802382653
21301133009,21301,0.000292343234559849,0.0126677600410962
21301133010,21301,0.000278030351075584,0.0120475569645727
21301133011,21301,0.000266036661080781,0.011527848728156
21301133014,21301,0.000227957179998685,0.00987779607835303
21301133022,21301,0.000228425933620973,0.00989810801892001
21301133034,21301,0.000186212071238214,0.00806890516468679
21301133043,21301,0.000201146426093999,0.00871603771751121
21301133044,21301,0.000196351779318142,0.00850827701824338
21301133045,21301,0.000250727541338135,0.0108644769363229
21301133047,21301,0.000239044573421595,0.0103582328484193
21301133052,21301,0.00025600701231484,0.0110932459433346
21301133102,21301,0.000141415613412886,0.0061277937882709
21301133104,21301,0.000166058919962966,0.00719563274293526
21301133208,21301,0.000213038813687854,0.00923135633804123
21301133210,21301,0.000302123747442356,0.0130915673183913
21301133218,21301,0.000174051038354905,0.00754194565885255
21301133224,21301,0.000268314755897189,0.0116265626885751
21301133234,21301,0.000220493850813666,0.00955439655325071
21301133301,21301,0.00017324171325089,0.0075068761412414
21301133312,21301,0.000178967516390122,0.00775498552649724
21301133321,21301,0.000151990138627758,0.00658600705314157
21301133411,21301,0.000257051017094425,0.0111384845548915
21301133415,21301,0.000236992177022383,0.0102692988078092
21301133416,21301,0.000225557061801985,0.00977379462461034
21301133417,21301,0.000230563945103227,0.00999075191561589
21301133418,21301,0.000180588905271821,0.007825243233393
21301133419,21301,0.000198544756793404,0.00860330269063144
21301133426,21301,0.000210907292731759,0.00913899368755939
21301133429,21301,0.000214897430553956,0.00931189356170424
21301133434,21301,0.000210489017740007,0.00912086907716886
21301133504,21301,0.000252234400416127,0.0109297718600946
21301133508,21301,0.000299068307817888,0.0129591696043101
21301133514,21301,0.000240349145508016,0.0104147623117126
21301133518,21301,0.000267218383163346,0.0115790548790346
21301133522,21301,0.000260905267224977,0.0113054961700763
21301133524,21301,0.000308132372818668,0.0133519319016818
21301133533,21301,0.000293352327163781,0.0127114858450646
21301133602,21301,0.00043007793726176,0.018636053324115
21301133606,21301,0.000503775127297615,0.0218294855938334
21301133609,21301,0.000452777282535754,0.0196196569277827
21301133610,21301,0.000458366736044639,0.0198618580374408
21301133613,21301,0.000514131411329008,0.0222782420742925
21301133615,21301,0.000496176757362806,0.0215002345092904
21301133616,21301,0.000479313478784038,0.0207695182097885
21301133618,21301,0.000459867275641656,0.019926879126695
21301133619,21301,0.000453100847906424,0.0196336775993383
21301133707,21301,0.000417585649944214,0.0180947399657219
21301133709,21301,0.000386034288936783,0.0167275625421913
21301133711,21301,0.000436791398736813,0.0189269597278125
21301133712,21301,0.000408328113420966,0.0176935941980602
21301133713,21301,0.000410822987412338,0.0178017015914229
21301133714,21301,0.000372114044210184,0.0161243732117613
21301133716,21301,0.000337702315421911,0.0146332508892439
21301133718,21301,0.000345446584519219,0.01496882404785
21301133725,21301,0.000361428700963731,0.0156613580015526
21301133806,21301,0.000339650318324143,0.0147176613711967
21301133807,21301,0.000376060216567353,0.0162953679829476
21301133809,21301,0.000364656724904099,0.0158012341055612
21301133817,21301,0.000425710305587973,0.0184467959599939
21301133819,21301,0.000457867458528959,0.0198402234414766
21301133826,21301,0.000421938403712043,0.0182833526433227
21301133832,21301,0.000456196126867758,0.019767801623797
21301133833,21301,0.000516305869949412,0.0223724652912726
21301133836,21301,0.000433023904798849,0.0187637074150499
21301133905,21301,9.37224131798139e-05,0.00406116133462736
21301133912,21301,0.000108032704565378,0.0046812520908353
21301133921,21301,0.000119534640004756,0.00517965171473489
21301134011,21301,0.000160009860074801,0.00693351605926079
